Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.2,0.9,0.0,1.1038429745269522,0.9059259542133212,0.46815810981258377,0.516773040484438,0.0009645056052603227,0.7352941176470588,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,0.0,1.7299978274113805,0.5780354079960399,0.4082453397383995,0.7062635507982521,3.594367503415013e-05,0.8064516129032259,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,0.0,2.4185346902919687,0.4134734986494151,0.3634589021788999,0.8790379634151048,1.0306651615951773e-06,0.8928571428571429,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,0.0,3.1807109689799136,0.31439511786910657,0.32793888262938264,1.0430788011342937,2.1080890366451146e-08,1.0,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,0.0,4.029802170928886,0.24815113933235483,0.2986318198182449,1.203427155812007,2.853267060320824e-10,1.1363636363636365,local-valid
1.5,8,0.016796159999999994,0.7,0.9,0.0,4.981576848734743,0.20073965139250782,0.27374337895700906,1.3636736791066577,2.35169013408595e-12,1.3157894736842104,guarded
1.5,8,0.016796159999999994,0.8,0.9,0.0,6.055805047442197,0.16513081120773068,0.25216802149362233,1.5270803773645905,1.0670290107663422e-14,1.5625000000000002,guarded
1.5,8,0.016796159999999994,0.9000000000000001,0.9,0.0,7.276512509528105,0.13742847259460725,0.23313465121695728,1.6964072059846613,2.3619310059825455e-17,1.9230769230769236,guarded
1.5,8,0.016796159999999994,1.0,0.9,0.0,8.67220418659575,0.11531093808257614,0.21613354275520127,1.8743542143454277,2.21255168171481e-20,2.5,guarded
1.5,8,0.016796159999999994,0.2,0.9,0.375,0.5396892696849053,1.8529180700291572,0.540208692831355,0.2915448349115913,0.021003286785436302,0.5053597638168913,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,0.375,0.7313387248484875,1.367355462008622,0.49738726491727825,0.3637585680804791,0.007217512074936042,0.5542655474120745,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,0.375,0.892657986460274,1.1202498775207037,0.46652074588706227,0.4164434696654902,0.002995542856356057,0.6136511417776538,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,0.375,1.0317223528117558,0.9692530139283085,0.4427307450226424,0.45677520591686216,0.0014176509724849176,0.6872892787909722,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,0.375,1.153821591098544,0.8666851164120687,0.4235799874011378,0.48873573502068207,0.0007392952008450958,0.7810105440806503,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,0.375,1.262683795039741,0.7919639136324915,0.40766643051231144,0.5147537955895902,0.00041527287357928183,0.9043279984091739,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,0.375,1.3611835485892216,0.734654779685249,0.3940901091858715,0.5364289732855384,0.000247059474229331,1.0738894981108942,local-valid
1.5,8,0.016796159999999994,0.9000000000000001,0.9,0.375,1.4519357638941348,0.6887357036498435,0.3821828433504717,0.5549049386072996,0.00015339809411823072,1.3217101515211007,local-valid
1.5,8,0.016796159999999994,1.0,0.9,0.375,1.538268716877953,0.650081477330947,0.37120001707586825,0.5710053739723702,9.762426470855903e-05,1.7182231969774306,local-valid
