Ns_diag,cutoff,tail_probability,eta_s,eta_i,gamma,Fq_fock,Fq_coherent,advantage_ratio_fock,covariance_purity,epr_correlation_strength,ideal_idler_analytic_ratio
1.5,8,0.016796159999999994,0.2,0.2,0.0,0.3419736058940842,1.2000000000000002,0.2849780049117368,0.510204081632653,1.0954451150103324,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.2,0.0,0.45622400403060775,1.6800000000000002,0.27156190716107603,0.47528517110266155,1.2961481396815722,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.2,0.0,0.5607187618943644,2.16,0.25959201939553905,0.4448398576512454,1.4696938456699067,0.8561643835616438
1.5,8,0.016796159999999994,0.44,0.2,0.0,0.6569273832496032,2.64,0.24883613001878907,0.4180602006688962,1.624807680927192,0.9328358208955223
1.5,8,0.016796159999999994,0.52,0.2,0.0,0.7460614562274673,3.12,0.23912226161136774,0.39432176656151413,1.7663521732655694,1.0245901639344261
1.5,8,0.016796159999999994,0.6000000000000001,0.2,0.0,0.8291690658677172,3.6000000000000005,0.2303247405188103,0.373134328358209,1.897366596101028,1.1363636363636365
1.5,8,0.016796159999999994,0.6799999999999999,0.2,0.0,0.9071993084045186,4.08,0.22235277166777415,0.35410764872521244,2.0199009876724157,1.2755102040816326
1.5,8,0.016796159999999994,0.76,0.2,0.0,0.981096910917458,4.5600000000000005,0.21515283134154778,0.3369272237196766,2.1354156504062622,1.4534883720930232
1.5,8,0.016796159999999994,0.8400000000000001,0.2,0.0,1.0519241020722463,5.040000000000001,0.20871509961750914,0.3213367609254498,2.2449944320643653,1.6891891891891895
1.5,8,0.016796159999999994,0.9199999999999999,0.2,0.0,1.1210973350052578,5.52,0.20309734329805396,0.30712530712530717,2.349468024894146,2.016129032258064
1.5,8,0.016796159999999994,1.0,0.2,0.0,1.1916562473050423,6.0,0.19860937455084038,0.2941176470588236,2.4494897427831783,2.5
1.5,8,0.016796159999999994,0.2,0.28,0.0,0.45622400403060787,1.2000000000000002,0.3801866700255065,0.47528517110266155,1.2961481396815722,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.28,0.0,0.6157936535940229,1.6800000000000002,0.3665438414250136,0.4525706010137581,1.5336231610144653,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.28,0.0,0.765220517054521,2.16,0.3542687578956115,0.43192812715964046,1.7389652095427326,0.8561643835616438
1.5,8,0.016796159999999994,0.44,0.28,0.0,0.9059053276293239,2.64,0.3431459574353499,0.41308658294778583,1.9224983745116666,0.9328358208955223
1.5,8,0.016796159999999994,0.52,0.28,0.0,1.0390324415322139,3.12,0.33302321843981214,0.39582013932868904,2.0899760764181012,1.0245901639344261
1.5,8,0.016796159999999994,0.6000000000000001,0.28,0.0,1.1656650246996723,3.6000000000000005,0.32379584019435337,0.37993920972644374,2.2449944320643653,1.1363636363636365
1.5,8,0.016796159999999994,0.6799999999999999,0.28,0.0,1.286827675814627,4.08,0.3153989401506439,0.3652834599649328,2.389979079406345,1.2755102040816326
1.5,8,0.016796159999999994,0.76,0.28,0.0,1.403495481337859,4.5600000000000005,0.30778409678461816,0.3517163759144626,2.5266578715766013,1.4534883720930232
1.5,8,0.016796159999999994,0.8400000000000001,0.28,0.0,1.5166300522009541,5.040000000000001,0.3009186611509829,0.33912099837221915,2.6563132345414386,1.6891891891891895
1.5,8,0.016796159999999994,0.9199999999999999,0.28,0.0,1.6278820214475211,5.52,0.2949061633057104,0.3273965426925092,2.7799280566230484,2.016129032258064
1.5,8,0.016796159999999994,1.0,0.28,0.0,1.7408700431213735,6.0,0.29014500718689556,0.31645569620253183,2.898275349237888,2.5
1.5,8,0.016796159999999994,0.2,0.36,0.0,0.5607187618943636,1.2000000000000002,0.46726563491196965,0.4448398576512454,1.4696938456699067,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.36,0.0,0.7652205170545205,1.6800000000000002,0.45548840300864313,0.4319281271596406,1.7389652095427326,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.36,0.0,0.960986328046693,2.16,0.4449010777993949,0.4197447951645398,1.971801207018598,0.8561643835616438
1.5,8,0.016796159999999994,0.44,0.36,0.0,1.1492255806842824,2.64,0.43531271995616755,0.40822991508817746,2.1799082549501936,0.9328358208955223
1.5,8,0.016796159999999994,0.52,0.36,0.0,1.3309843882039092,3.12,0.42659756032176577,0.3973299427844882,2.3698101189757796,1.0245901639344261
1.5,8,0.016796159999999994,0.6000000000000001,0.36,0.0,1.5072521945111905,3.6000000000000005,0.4186811651419973,0.3869969040247678,2.5455844122715714,1.1363636363636365
1.5,8,0.016796159999999994,0.6799999999999999,0.36,0.0,1.6789465213531243,4.08,0.4115065003316481,0.3771876885938442,2.7099815497526913,1.2755102040816326
1.5,8,0.016796159999999994,0.76,0.36,0.0,1.8468380329846483,4.5600000000000005,0.4050083405668088,0.36786344908769864,2.864960732715198,1.4534883720930232
1.5,8,0.016796159999999994,0.8400000000000001,0.36,0.0,2.0119325857642094,5.040000000000001,0.39919297336591447,0.3589890867317632,3.0119760955226718,1.6891891891891895
1.5,8,0.016796159999999994,0.9199999999999999,0.36,0.0,2.176053805307272,5.52,0.39421264588899857,0.35053280987100394,3.1521421287752873,2.016129032258064
1.5,8,0.016796159999999994,1.0,0.36,0.0,2.342631272420007,6.0,0.3904385454033345,0.34246575342465757,3.286335345030997,2.5
1.5,8,0.016796159999999994,0.2,0.44,0.0,0.6569273832496028,1.2000000000000002,0.5474394860413355,0.4180602006688962,1.624807680927192,0.7352941176470588
1.5,8,0.016796159999999994,0.28,0.44,0.0,0.9059053276293241,1.6800000000000002,0.5392293616841214,0.41308658294778583,1.9224983745116666,0.7911392405063291
1.5,8,0.016796159999999994,0.36,0.44,0.0,1.1492255806842817,2.16,0.5320488799464267,0.40822991508817746,2.1799082549501936,0.8561643835616438
1.5,8,0.016796159999999994,0.44,0.44,0.0,1.3879095329378126,2.64,0.5257233079309896,0.40348612007746915,2.409979253022731,0.9328358208955223
1.5,8,0.016796159999999994,0.52,0.44,0.0,1.6228804981974894,3.12,0.5201540058325286,0.39885130823229087,2.6199236630100504,1.0245901639344261
1.5,8,0.016796159999999994,0.6000000000000001,0.44,0.0,1.854979856544133,3.6000000000000005,0.5152721823733702,0.3943217665615141,2.814249455894058,1.1363636363636365
1.5,8,0.016796159999999994,0.6799999999999999,0.44,0.0,2.0849022455119726,4.08,0.5110054523313659,0.38989394884591394,2.995997329771841,1.2755102040816326
1.5,8,0.016796159999999994,0.76,0.44,0.0,2.3134443269449942,4.5600000000000005,0.5073342822247794,0.38556446637877834,3.1673332631726647,1.4534883720930232
