scan,eta_signal,Gamma,rmse_cs,rmse_surrogate,rmse_guarded,qzzb_phase_variance,G_eff
Gamma,0.9,0.41666666666666663,0.01910101288901083,0.017263511835067274,0.02625291886242288,0.3848905285357897,1.2242059939885652
Gamma,0.9,0.5,0.01910101288901083,0.017998020836360176,0.027025992600572125,0.40789214167396176,1.1263238871249184
Gamma,0.9,0.5833333333333333,0.01910101288901083,0.018763780922492285,0.02771422650685202,0.4289311190878424,1.0362680014128693
Gamma,0.9,0.6666666666666666,0.01910101288901083,0.019562121730407334,0.028335467768184207,0.44837646047921315,0.9534125867590021
Gamma,0.9,0.75,0.01910101288901083,0.02039442946898604,0.028902121250179,0.46648906585434624,0.8771819252849149
Gamma,0.9,0.8333333333333333,0.01910101288901083,0.021262149326006955,0.029422997644569657,0.4834547876131987,0.8070463309721825
Gamma,0.9,0.9166666666666666,0.01910101288901083,0.022166787977516013,0.029904544181103113,0.4994090470196864,0.7425184691580446
Gamma,0.9,1.0,0.01910101288901083,0.02310991620396203,0.03035164222880662,0.5144538479884636,0.6831499703079744
Gamma,0.9,1.0833333333333333,0.01910101288901083,0.024093171617640647,0.03076811762515978,0.5286690495062102,0.6285283145360399
Gamma,0.9,1.1666666666666665,0.01910101288901083,0.025118261506182595,0.031157066894301335,0.5421196694151463,0.578273965225266
Gamma,0.9,1.25,0.01910101288901083,0.026186965797023558,0.03152106725069996,0.5548605633343812,0.5320377318310574
Gamma,0.9,1.3333333333333333,0.01910101288901083,0.027301140148003063,0.031862313391588744,0.5669394019641141,0.4894983435432181
Gamma,0.9,1.4166666666666665,0.01910101288901083,0.028462719169458816,0.03218270831696569,0.5783985686667783,0.4503602169472435
Gamma,0.9,1.5,0.01910101288901083,0.029673719783411132,0.03248392524874373,0.5892763835731977,0.4143514021735616
Gamma,0.9,1.5833333333333333,0.01910101288901083,0.0309362447256703,0.03276745080497894,0.5996078963526297,0.38122169326361377
Gamma,0.9,1.6666666666666665,0.01910101288901083,0.03225248619694776,0.03303461647844598,0.6094254261200507,0.350740889622721
Gamma,0.9,1.75,0.01910101288901083,0.0336247296693108,0.0336247296693108,0.6187589253627858,0.3226971964795044
Gamma,0.9,1.8333333333333333,0.01910101288901083,0.03505535785459006,0.03505535785459006,0.627636253414755,0.29689575323750933
Gamma,0.9,1.9166666666666665,0.01910101288901083,0.036546854841630526,0.036546854841630526,0.6360833792803285,0.2731572794933363
Gamma,0.9,2.0,0.01910101288901083,0.03810181040956975,0.03810181040956975,0.6441245374502875,0.25131682931318505
Gamma,0.9,2.083333333333333,0.01910101288901083,0.03972292452463275,0.03972292452463275,0.6517823792193441,0.2312226451119469
Gamma,0.9,2.1666666666666665,0.01910101288901083,0.04141301202825148,0.04141301202825148,0.6590780718161672,0.21273510317106492
Gamma,0.9,2.25,0.01910101288901083,0.04317500752464947,0.04317500752464947,0.666031420406367,0.19572574346813107
Gamma,0.9,2.333333333333333,0.01910101288901083,0.045011970476377894,0.045011970476377894,0.6726609577302759,0.1800763770770258
Gamma,0.9,2.4166666666666665,0.01910101288901083,0.04692709051665104,0.04692709051665104,0.67898403094647,0.16567826493640145
Gamma,0.9,2.5,0.01910101288901083,0.04892369298770513,0.04892369298770513,0.6850168883643081,0.1524313622802134
