Ns,a,eta_s,gamma_max,GQ
10.0,0.5,0.2,0.4013413909243025,1.2222222222222223
10.0,0.5,0.20402010050251257,0.4102949593194452,1.2277061132922042
10.0,0.5,0.20804020100502513,0.41928879122669327,1.2332394366197181
10.0,0.5,0.2120603015075377,0.4283232504063335,1.2388228636106398
10.0,0.5,0.21608040201005027,0.43739870557060956,1.244457077885162
10.0,0.5,0.22010050251256283,0.4465155304740221,1.2501427755568246
10.0,0.5,0.2241206030150754,0.45567410400568387,1.2558806655192196
10.0,0.5,0.22814070351758794,0.464874810283807,1.2616714697406342
10.0,0.5,0.23216080402010053,0.4741180387523689,1.2675159235668791
10.0,0.5,0.2361809045226131,0.48340418428002746,1.2734147760325771
10.0,0.5,0.24020100502512565,0.49273364726133884,1.2793687901811805
10.0,0.5,0.2442211055276382,0.5021068337203491,1.2853787433940105
10.0,0.5,0.24824120603015076,0.5115241554166247,1.2914454277286136
10.0,0.5,0.2522613065326633,0.5209860299537891,1.2975696502667455
10.0,0.5,0.2562814070351759,0.5304928808906444,1.303752233472305
10.0,0.5,0.26030150753768844,0.5400451378549384,1.309994015559545
10.0,0.5,0.264321608040201,0.5496432366598702,1.316295850871918
10.0,0.5,0.26834170854271355,0.5592876194233993,1.3226586102719033
10.0,0.5,0.27236180904522617,0.5689787346904456,1.3290831815421982
10.0,0.5,0.2763819095477387,0.5787170375580668,1.335570469798658
10.0,0.5,0.2804020100502513,0.5885029898036983,1.3421213979153894
10.0,0.5,0.28442211055276384,0.5983370600165432,1.348736906962415
10.0,0.5,0.2884422110552764,0.6082197237322122,1.355417956656347
10.0,0.5,0.29246231155778896,0.6181514635707004,1.3621655258245176
10.0,0.5,0.2964824120603015,0.6281327693778175,1.368980612883052
10.0,0.5,0.3005025125628141,0.638164138370152,1.3758642363293525
10.0,0.5,0.3045226130653267,0.6482460752837018,1.3828174352495264
10.0,0.5,0.30854271356783924,0.658379092526259,1.3898412698412699
10.0,0.5,0.3125628140703518,0.6685637103336842,1.396936821952776
10.0,0.5,0.31658291457286436,0.678800456930173,1.4041051956382298
10.0,0.5,0.3206030150753769,0.6890898686926481,1.4113475177304964
10.0,0.5,0.3246231155778895,0.6994324903194044,1.4186649384316268
10.0,0.5,0.32864321608040203,0.7098288750031311,1.4260586319218242
10.0,0.5,0.3326633165829146,0.7202795846084611,1.4335297969875573
10.0,0.5,0.33668341708542715,0.7307851898541803,1.4410796576695195
10.0,0.5,0.3407035175879397,0.7413462705002466,1.4487094639311713
10.0,0.5,0.34472361809045227,0.751963415539777,1.4564204923486361
10.0,0.5,0.3487437185929648,0.7626372233961523,1.4642140468227425
10.0,0.5,0.3527638190954774,0.7733683021254156,1.472091459314055
10.0,0.5,0.35678391959798994,0.7841572696241261,1.4800540906017579
10.0,0.5,0.36080402010050255,0.7950047538428507,1.488103331067301
10.0,0.5,0.3648241206030151,0.8059113930054773,1.4962406015037595
10.0,0.5,0.36884422110552767,0.8168778358345401,1.50446735395189
10.0,0.5,0.37286432160804023,0.8279047417827584,1.5127850725639256
10.0,0.5,0.3768844221105528,0.8389927812709902,1.5211952744961779
10.0,0.5,0.38090452261306534,0.8501426359328244,1.5296995108315865
10.0,0.5,0.38492462311557796,0.8613549988660215,1.5382993675333805
10.0,0.5,0.3889447236180905,0.8726305748910498,1.5469964664310953
10.0,0.5,0.3929648241206031,0.883970080816948,1.5557924662402276
10.0,0.5,0.39698492462311563,0.8953742457147637,1.5646890636168693
10.0,0.5,0.4010050251256282,0.9068438111988403,1.573687994248742
10.0,0.5,0.40502512562814075,0.9183795317162097,1.5827910339840927
10.0,0.5,0.4090452261306533,0.9299821748443826,1.592
10.0,0.5,0.41306532663316586,0.941652521597827,1.6013167520117046
10.0,0.5,0.4170854271356784,0.9533913667434386,1.6107431935246506
10.0,0.5,0.421105527638191,0.9651995191253282,1.620281273131014
10.0,0.5,0.42512562814070354,0.9770778019992507,1.6299329858525688
10.0,0.5,0.4291457286432161,0.9890270533770261,1.6397003745318353
10.0,0.5,0.43316582914572865,1.001048126381311,1.6495855312735495
10.0,0.5,0.4371859296482412,1.0131418896110969,1.65959059893859
10.0,0.5,0.44120603015075377,1.025309227518326,1.669717772692601
10.0,0.5,0.4452261306532663,1.0375510407960358,1.6799693016116655
10.0,0.5,0.44924623115577894,1.04986824677845,1.6903474903474907
10.0,0.5,0.4532663316582915,1.0622617798534726,1.7008547008547008
10.0,0.5,0.45728643216080406,1.0747325918880406,1.7114933541829556
10.0,0.5,0.4613065326633166,1.0872816526668176,1.7222659323367426
10.0,0.5,0.4653266331658292,1.099909950344744,1.7331749802058594
10.0,0.5,0.46934673366834173,1.1126184919139575,1.7442231075697212
10.0,0.5,0.4733668341708543,1.1254083036856533,1.7554129911788294
10.0,0.5,0.47738693467336685,1.1382804317874406,1.7667473769168682
10.0,0.5,0.48140703517587946,1.151235942676819,1.7782290820471163
10.0,0.5,0.485427135678392,1.1642759236713813,1.7898609975470157
10.0,0.5,0.4894472361809046,1.1774014834964281,1.8016460905349794
10.0,0.5,0.49346733668341713,1.1906137528506628,1.8135874067937034
10.0,0.5,0.4974874371859297,1.2039138849906976,1.8256880733944956
10.0,0.5,0.5015075376884423,1.2173030563351257,1.837951301427372
10.0,0.5,0.5055276381909548,1.2307824670889524,1.8503803888419275
10.0,0.5,0.5095477386934674,1.2443533418892072,1.8629787234042554
10.0,0.5,0.5135678391959799,1.258016930472614,1.8757497857754928
10.0,0.5,0.5175879396984925,1.2717745083662226,1.8886971527178604
10.0,0.5,0.521608040201005,1.2856273776019604,1.9018245004344048
10.0,0.5,0.5256281407035177,1.2995768674561048,1.915135608048994
10.0,0.5,0.5296482412060302,1.3136243352147199,1.9286343612334802
10.0,0.5,0.5336683417085428,1.3277711669661736,1.9423247559893526
10.0,0.5,0.5376884422110553,1.3420187784218756,1.9562109025915997
10.0,0.5,0.5417085427135679,1.3563686157664663,1.9702970297029707
10.0,0.5,0.5457286432160804,1.3708221565387209,1.984587488667271
10.0,0.5,0.5497487437185931,1.3853809105445238,1.999086757990868
10.0,0.5,0.5537688442211055,1.4000464208033065,2.0137994480220787
10.0,0.5,0.5577889447236182,1.4148202645294565,2.0287303058387396
10.0,0.5,0.5618090452261306,1.4297040541502282,2.0438842203548084
10.0,0.5,0.5658291457286433,1.4446994383618303,2.0592662276575733
10.0,0.5,0.5698492462311558,1.4598081032253925,2.074881516587678
10.0,0.5,0.5738693467336684,1.4750317733046525,2.0907354345749765
10.0,0.5,0.577889447236181,1.4903722128472712,2.1068334937439848
10.0,0.5,0.5819095477386935,1.5058312270118064,2.123181377303589
10.0,0.5,0.5859296482412061,1.5214106631424733,2.1397849462365595
10.0,0.5,0.5899497487437186,1.5371124120939503,2.1566502463054187
10.0,0.5,0.5939698492462312,1.5529384096086014,2.1737835153922545
10.0,0.5,0.5979899497487438,1.568890637748619,2.191191191191191
