eta,Gamma,G_eff,P_wrap
0.1,0.0,0.6756756756756757,0.04546812495617665
0.13016759776536313,0.0,0.6926172419130165,0.020855305402161895
0.16033519553072625,0.0,0.710430227020162,0.009399495104913488
0.19050279329608938,0.0,0.7291836402150887,0.004129420558363343
0.22067039106145253,0.0,0.7489539748953974,0.0017574866779714849
0.2508379888268156,0.0,0.7698262515052469,0.0007207260302125324
0.2810055865921788,0.0,0.7918952397805699,0.00028332747297617027
0.31117318435754193,0.0,0.8152668974312262,0.00010621604143022206
0.34134078212290503,0.0,0.8400600713347101,3.776644970240581e-05
0.3715083798882681,0.0,0.8664085188770572,1.2661566323696488e-05
0.4016759776536313,0.0,0.8944633220067959,3.976854529888955e-06
0.43184357541899443,0.0,0.9243957859946292,1.1618752419888942e-06
0.4620111731843576,0.0,0.9564009403718744,3.132304737061956e-07
0.4921787709497206,0.0,0.9907017932255922,7.721666683328988e-08
0.5223463687150838,0.0,1.0275545350172215,1.72268017991046e-08
0.5525139664804469,0.0,1.067254948724064,3.437013648024231e-09
0.5826815642458101,0.0,1.110146365666088,6.048814040207299e-10
0.6128491620111731,0.0,1.1566296200568622,9.241038657604792e-11
0.6430167597765363,0.0,1.2071756137038037,1.2027751101693554e-11
0.6731843575418994,0.0,1.2623413258110014,1.3044837108377558e-12
0.7033519553072626,0.0,1.322790422701744,1.1482378334355608e-13
0.7335195530726256,0.0,1.3893200869295248,7.947335922538531e-15
0.7636871508379888,0.0,1.4628963713631904,4.162618337072076e-16
0.7938547486033519,0.0,1.5447014152571625,1.5744010435859394e-17
0.8240223463687151,0.0,1.636197440585009,4.057947527574336e-19
0.8541899441340782,0.0,1.7392149242129809,6.629087709701435e-21
0.8843575418994413,0.0,1.8560763168809618,6.260687339350869e-23
0.9145251396648044,0.0,1.9897732325477988,3.0365729780011094e-25
0.9446927374301676,0.0,2.1442261619549594,6.476793808110224e-28
0.9748603351955307,0.0,2.3246753246753245,4.9375410529285675e-31
0.1,0.16759776536312848,0.5714148200490486,0.06584077186729152
0.13016759776536313,0.16759776536312848,0.5857421998428802,0.033598346015850045
0.16033519553072625,0.16759776536312848,0.6008065332885933,0.016921864303147988
0.19050279329608938,0.16759776536312848,0.6166661810631985,0.008350651172922899
0.22067039106145253,0.16759776536312848,0.6333858331690123,0.004015443665339217
0.2508379888268156,0.16759776536312848,0.6510373908798984,0.0018724737566069743
0.2810055865921788,0.16759776536312848,0.6697010003866306,0.0008429715047900563
0.31117318435754193,0.16759776536312848,0.6894662694816632,0.00036472759815546474
0.34134078212290503,0.16759776536312848,0.7104337062483292,0.00015095369994497004
0.3715083798882681,0.16759776536312848,0.7327164284965827,5.9463925628378466e-05
0.4016759776536313,0.16759776536312848,0.7564422053137816,2.2172347564104285e-05
0.43184357541899443,0.16759776536312848,0.7817559085281656,7.778109441211546e-06
0.4620111731843576,0.16759776536312848,0.8088224734312566,2.5496393536269954e-06
0.4921787709497206,0.16759776536312848,0.837830496609442,7.74956795772822e-07
0.5223463687150838,0.16759776536312848,0.8689966367818253,2.1649865728325064e-07
0.5525139664804469,0.16759776536312848,0.9025710358179941,5.503429646189186e-08
0.5826815642458101,0.16759776536312848,0.9388440469324857,1.2582065501372039e-08
0.6128491620111731,0.16759776536312848,0.9781546531881233,2.5522439656699237e-09
0.6430167597765363,0.16759776536312848,1.020901093386795,4.5210880472044925e-10
