pressure_MPa,lambda_nm,Nret_rayleigh_budget,P0_zero_count_signal_only,photon_regime_signal_only,dark_count_rate_Hz,background_rate_Hz,gate_time_s,N_dark_per_gate,N_background_per_gate,N_noise_per_gate,SBR_Nret_over_noise,log10_SBR,SBR_min,log10_margin_over_SBR_min,detector_admissible
10.0,532.0,0.45958850380744576,0.6315434697781567,photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,4550.381225816295,3.6580477828840987,3.0,3.1809265281644366,True
10.0,532.0,0.45958850380744576,0.6315434697781567,photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,2297.942519037229,3.36133916100276,3.0,2.884217906283098,True
10.0,532.0,0.45958850380744576,0.6315434697781567,photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,45.503812258162945,1.6580477828840987,3.0,1.1809265281644363,True
10.0,532.0,0.45958850380744576,0.6315434697781567,photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.4595425495524905,-0.3376742706101213,3.0,-0.8147955253297837,False
10.0,633.0,0.2728305028760567,0.7612218016009311,photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,2701.29210768373,3.431571549717178,3.0,2.9544502949975158,True
10.0,633.0,0.2728305028760567,0.7612218016009311,photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,1364.1525143802837,3.1348629278358393,3.0,2.657741673116177,True
10.0,633.0,0.2728305028760567,0.7612218016009311,photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,27.012921076837298,1.431571549717178,3.0,0.9544502949975155,True
10.0,633.0,0.2728305028760567,0.7612218016009311,photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.27280322255380135,-0.564150503777042,3.0,-1.0412717584967044,False
10.0,1064.0,0.05744856297593072,0.9441704544558072,extreme photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,568.7976532270369,2.7549577958921554,3.0,2.277836541172493,True
10.0,1064.0,0.05744856297593072,0.9441704544558072,extreme photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,287.2428148796536,2.4582491740108168,3.0,1.9811279192911542,True
10.0,1064.0,0.05744856297593072,0.9441704544558072,extreme photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,5.687976532270368,0.7549577958921552,3.0,0.2778365411724928,True
10.0,1064.0,0.05744856297593072,0.9441704544558072,extreme photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.057442818694061315,-1.2407642576020648,3.0,-1.7178855123217274,False
10.0,1550.0,0.01858270613413458,0.981588887812295,extreme photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,183.98718944687704,2.264787585258369,3.0,1.7876663305387064,True
10.0,1550.0,0.01858270613413458,0.981588887812295,extreme photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,92.9135306706729,1.9680789633770301,3.0,1.4909577086573678,True
10.0,1550.0,0.01858270613413458,0.981588887812295,extreme photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,1.8398718944687702,0.2647875852583688,3.0,-0.21233366946129362,False
10.0,1550.0,0.01858270613413458,0.981588887812295,extreme photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.018580848049329645,-1.7309344682358514,3.0,-2.2080557229555136,False
30.0,532.0,1.2993868257629684,0.2726989537523586,low-return,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,12865.216096663054,4.109417085439496,3.0,3.6322958307198334,True
30.0,532.0,1.2993868257629684,0.2726989537523586,low-return,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,6496.934128814843,3.8127084635581574,3.0,3.335587208838495,True
30.0,532.0,1.2993868257629684,0.2726989537523586,low-return,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,128.65216096663053,2.109417085439496,3.0,1.6322958307198334,True
30.0,532.0,1.2993868257629684,0.2726989537523586,low-return,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,1.299256900072961,0.11369503194527569,3.0,-0.36342622277438674,False
30.0,633.0,0.7713690794406035,0.4623796003715852,photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,7637.317618223798,3.8829408522725752,3.0,3.4058195975529126,True
30.0,633.0,0.7713690794406035,0.4623796003715852,photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,3856.845397203018,3.5862322303912366,3.0,3.109110975671574,True
30.0,633.0,0.7713690794406035,0.4623796003715852,photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,76.37317618223797,1.882940852272575,3.0,1.4058195975529126,True
30.0,633.0,0.7713690794406035,0.4623796003715852,photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.771291950245579,-0.11278120122164507,3.0,-0.5899024559413075,False
30.0,1064.0,0.16242335322037105,0.8500812437182175,photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,1608.1520120828818,3.2063270984475523,3.0,2.7292058437278897,True
30.0,1064.0,0.16242335322037105,0.8500812437182175,photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,812.1167661018553,2.9096184765662136,3.0,2.432497221846551,True
30.0,1064.0,0.16242335322037105,0.8500812437182175,photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,16.081520120828817,1.2063270984475523,3.0,0.7292058437278898,True
30.0,1064.0,0.16242335322037105,0.8500812437182175,photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.16240711250912013,-0.7893949550466679,3.0,-1.2665162097663303,False
30.0,1550.0,0.052538571651991745,0.9488177228829692,extreme photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,520.1838777424925,2.716156887813766,3.0,2.2390356330941033,True
30.0,1550.0,0.052538571651991745,0.9488177228829692,extreme photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,262.69285825995877,2.4194482659324272,3.0,1.9423270112127649,True
30.0,1550.0,0.052538571651991745,0.9488177228829692,extreme photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,5.201838777424926,0.7161568878137659,3.0,0.2390356330941034,True
30.0,1550.0,0.052538571651991745,0.9488177228829692,extreme photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.05253331832015973,-1.2795651656804543,3.0,-1.7566864204001167,False
35.0,532.0,1.4333714661038923,0.2385034588832202,low-return,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,14191.796694097946,4.152037381006265,3.0,3.6749161262866026,True
35.0,532.0,1.4333714661038923,0.2385034588832202,low-return,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,7166.857330519462,3.855328759124926,3.0,3.378207504405264,True
35.0,532.0,1.4333714661038923,0.2385034588832202,low-return,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,141.91796694097945,2.1520373810062647,3.0,1.6749161262866024,True
35.0,532.0,1.4333714661038923,0.2385034588832202,low-return,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,1.4332281432895633,0.15631532751204472,3.0,-0.3208059272076177,False
35.0,633.0,0.8509078331279616,0.4270270865901879,photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,8424.830030969917,3.925561147839344,3.0,3.448439893119682,True
35.0,633.0,0.8509078331279616,0.4270270865901879,photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,4254.539165639809,3.6288525259580053,3.0,3.151731271238343,True
35.0,633.0,0.8509078331279616,0.4270270865901879,photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,84.24830030969918,1.9255611478393442,3.0,1.4484398931196816,True
35.0,633.0,0.8509078331279616,0.4270270865901879,photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.8508227508528763,-0.07016090565487607,3.0,-0.5472821603745385,False
35.0,1064.0,0.17917143326298654,0.8359625753201076,photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,1773.9745867622432,3.2489473940143214,3.0,2.771826139294659,True
35.0,1064.0,0.17917143326298654,0.8359625753201076,photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,895.8571663149328,2.952238772132983,3.0,2.47511751741332,True
35.0,1064.0,0.17917143326298654,0.8359625753201076,photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,17.73974586762243,1.2489473940143212,3.0,0.7718261392946588,True
35.0,1064.0,0.17917143326298654,0.8359625753201076,photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.1791535179111954,-0.7467746594798989,3.0,-1.2238959141995613,False
35.0,1550.0,0.05795602047265731,0.9436914496280804,extreme photon-starved,1.0,100.0,1e-06,1e-06,9.999999999999999e-05,0.00010099999999999999,573.8219848777952,2.758777183380535,3.0,2.2816559286608724,True
35.0,1550.0,0.05795602047265731,0.9436914496280804,extreme photon-starved,100.0,100.0,1e-06,9.999999999999999e-05,9.999999999999999e-05,0.00019999999999999998,289.7801023632866,2.4620685614991964,3.0,1.9849473067795338,True
35.0,1550.0,0.05795602047265731,0.9436914496280804,extreme photon-starved,10000.0,100.0,1e-06,0.01,9.999999999999999e-05,0.0101,5.738219848777952,0.7587771833805348,3.0,0.28165592866087236,True
35.0,1550.0,0.05795602047265731,0.9436914496280804,extreme photon-starved,1000000.0,100.0,1e-06,1.0,9.999999999999999e-05,1.0001,0.0579502254501123,-1.2369448701136854,3.0,-1.7140661248333477,False
