eta_signal,eta_idler,advantage_ratio_numerical_QFI
0.2,0.2,0.31354503505987746
0.23333333333333334,0.2,0.3071816191621523
0.26666666666666666,0.2,0.30112570863926263
0.30000000000000004,0.2,0.29535371178880176
0.33333333333333337,0.2,0.28984469827034853
0.3666666666666667,0.2,0.2845800992653526
0.4,0.2,0.2795434786790083
0.43333333333333335,0.2,0.27472034810271434
0.4666666666666667,0.2,0.27009799301159004
0.5,0.2,0.2656652832753501
0.5333333333333333,0.2,0.2614124622066628
0.5666666666666667,0.2,0.25733094215952396
0.6000000000000001,0.2,0.2534131673196828
0.6333333333333333,0.2,0.24965261166169828
0.6666666666666667,0.2,0.24604393664070334
0.7,0.2,0.24258323426382017
0.7333333333333334,0.2,0.23926817679958917
0.7666666666666666,0.2,0.2360979149055928
0.8,0.2,0.2330728536868526
0.8333333333333333,0.2,0.2301949000190446
0.8666666666666667,0.2,0.22746900564832026
0.8999999999999999,0.2,0.2249065608075336
0.9333333333333333,0.2,0.22253043342333148
0.9666666666666666,0.2,0.22038051047213353
1.0,0.2,0.21851856014659998
0.2,0.23333333333333334,0.3583785556891786
0.23333333333333334,0.23333333333333334,0.3518434793456101
0.26666666666666666,0.23333333333333334,0.34561339733004576
0.30000000000000004,0.23333333333333334,0.33966490402965716
0.33333333333333337,0.23333333333333334,0.3339773422895894
0.3666666666666667,0.23333333333333334,0.3285324977967593
0.4,0.23333333333333334,0.32331436717837125
0.43333333333333335,0.23333333333333334,0.31830896007208015
0.4666666666666667,0.23333333333333334,0.3135040975974617
0.5,0.23333333333333334,0.3088891911181819
0.5333333333333333,0.23333333333333334,0.3044550215229281
0.5666666666666667,0.23333333333333334,0.3001935725869891
0.6000000000000001,0.23333333333333334,0.29609797382384956
0.6333333333333333,0.23333333333333334,0.2921625532088854
0.6666666666666667,0.23333333333333334,0.2883828952290836
0.7,0.23333333333333334,0.2847557221039668
0.7333333333333334,0.23333333333333334,0.2812785192373775
0.7666666666666666,0.23333333333333334,0.27794921111190735
0.8,0.23333333333333334,0.2747665989944076
0.8333333333333333,0.23333333333333334,0.27173209418082406
0.8666666666666667,0.23333333333333334,0.26885255011130205
0.8999999999999999,0.23333333333333334,0.26614363663879664
0.9333333333333333,0.23333333333333334,0.2636333781894119
0.9666666666666666,0.23333333333333334,0.2613655932992694
1.0,0.23333333333333334,0.2594031696696967
0.2,0.26666666666666666,0.40150094485235005
0.23333333333333334,0.26666666666666666,0.39498673980576793
0.26666666666666666,0.26666666666666666,0.38876856031293644
0.30000000000000004,0.26666666666666666,0.38282344328793827
0.33333333333333337,0.26666666666666666,0.3771313002577219
0.3666666666666667,0.26666666666666666,0.3716745873679748
0.4,0.26666666666666666,0.36643804147078396
0.43333333333333335,0.26666666666666666,0.36140843558902463
0.4666666666666667,0.26666666666666666,0.3565743303343477
0.5,0.26666666666666666,0.3519258385086572
0.5333333333333333,0.26666666666666666,0.34745445402016467
0.5666666666666667,0.26666666666666666,0.3431529891173733
0.6000000000000001,0.26666666666666666,0.33901559074979215
0.6333333333333333,0.26666666666666666,0.3350376867747109
0.6666666666666667,0.26666666666666666,0.3312156477147952
0.7,0.26666666666666666,0.3275461144714995
0.7333333333333334,0.26666666666666666,0.3240254153784247
0.7666666666666666,0.26666666666666666,0.32064991810124294
0.8,0.26666666666666666,0.31741781038862094
0.8333333333333333,0.26666666666666666,0.31433176452727335
0.8666666666666667,0.26666666666666666,0.3114015517952683
0.8999999999999999,0.26666666666666666,0.30864636539527496
0.9333333333333333,0.26666666666666666,0.3060971617703815
0.9666666666666666,0.26666666666666666,0.3037992275577672
1.0,0.26666666666666666,0.30181514955919225
0.2,0.30000000000000004,0.4430305676832028
0.23333333333333334,0.30000000000000004,0.43671201946670224
0.26666666666666666,0.30000000000000004,0.43067637369892897
0.30000000000000004,0.30000000000000004,0.4249012102332531
0.33333333333333337,0.30000000000000004,0.419367170447416
0.3666666666666667,0.30000000000000004,0.4140575629255736
0.4,0.30000000000000004,0.408958022090946
0.43333333333333335,0.30000000000000004,0.4040561890401451
0.4666666666666667,0.30000000000000004,0.39934143167555597
0.5,0.30000000000000004,0.39480465852388175
0.5333333333333333,0.30000000000000004,0.3904382649145715
0.5666666666666667,0.30000000000000004,0.38623615645539444
0.6000000000000001,0.30000000000000004,0.38219365495488283
0.6333333333333333,0.30000000000000004,0.37830703013516204
0.6666666666666667,0.30000000000000004,0.3745726063111956
0.7,0.30000000000000004,0.3709859270523199
0.7333333333333334,0.30000000000000004,0.3675419073609716
0.7666666666666666,0.30000000000000004,0.36423648950243215
0.8,0.30000000000000004,0.3610691365305611
0.8333333333333333,0.30000000000000004,0.3580450096555989
0.8666666666666667,0.30000000000000004,0.3551765187707315
0.8999999999999999,0.30000000000000004,0.35248479226344703
0.9333333333333333,0.30000000000000004,0.3500015512559903
0.9666666666666666,0.30000000000000004,0.34777149673261903
1.0,0.30000000000000004,0.3458553350009019
0.2,0.33333333333333337,0.48307449711724665
0.23333333333333334,0.33333333333333337,0.4771104889851276
0.26666666666666666,0.33333333333333337,0.47141412532215293
0.30000000000000004,0.33333333333333337,0.4659635227193507
0.33333333333333337,0.33333333333333337,0.4607400988601464
0.3666666666666667,0.33333333333333337,0.4557280581374481
0.4,0.33333333333333337,0.45091393705740673
0.43333333333333335,0.33333333333333337,0.44628622522083244
0.4666666666666667,0.33333333333333337,0.4418351225074176
0.5,0.33333333333333337,0.43755247198766106
0.5333333333333333,0.33333333333333337,0.4334317944599984
0.5666666666666667,0.33333333333333337,0.4294681898971455
0.6000000000000001,0.33333333333333337,0.4256578087291362
0.6333333333333333,0.33333333333333337,0.42199683081351136
0.6666666666666667,0.33333333333333337,0.4184804608962232
0.7,0.33333333333333337,0.4151029027048664
0.7333333333333334,0.33333333333333337,0.41185883460923994
0.7666666666666666,0.33333333333333337,0.4087456889211138
0.8,0.33333333333333337,0.4057654931114079
0.8333333333333333,0.33333333333333337,0.4029258748084911
0.8666666666666667,0.33333333333333337,0.40024082626707347
0.8999999999999999,0.33333333333333337,0.39773188261716097
0.9333333333333333,0.33333333333333337,0.39542988818526437
0.9666666666666666,0.33333333333333337,0.39337727074582635
1.0,0.33333333333333337,0.39163083147290056
0.2,0.3666666666666667,0.5217301819864798
0.23333333333333334,0.3666666666666667,0.5162653536806204
0.26666666666666666,0.3666666666666667,0.5110525576309656
0.30000000000000004,0.3666666666666667,0.5060703546868133
0.33333333333333337,0.3666666666666667,0.5013008639511931
0.3666666666666667,0.3666666666666667,0.49672908589771436
0.4,0.3666666666666667,0.49234234908229985
0.43333333333333335,0.3666666666666667,0.48812994600771165
0.4666666666666667,0.3666666666666667,0.48408300217427286
0.5,0.3666666666666667,0.48019449153947685
0.5333333333333333,0.3666666666666667,0.47645913047683125
0.5666666666666667,0.3666666666666667,0.4728728183930889
0.6000000000000001,0.3666666666666667,0.4694315521906623
0.6333333333333333,0.3666666666666667,0.46613033566474016
0.6666666666666667,0.3666666666666667,0.46296304577320174
0.7,0.3666666666666667,0.4599237540740571
0.7333333333333334,0.3666666666666667,0.45700879214465073
0.7666666666666666,0.3666666666666667,0.4542183087469933
0.8,0.3666666666666667,0.45155687476680517
0.8333333333333333,0.3666666666666667,0.4490337084728426
