x_m,v_true_m_per_s,v_recon_classical_m_per_s,u_classical_m_per_s,v_recon_tmsv_m_per_s,u_tmsv_m_per_s
0.0,15.097354585577163,15.234141231681129,0.10659033952743908,15.234281628270596,0.10653950180816625
0.41841004184100417,15.116518161424729,15.244791533289177,0.10088111359108276,15.244927417028643,0.10082940477920146
0.8368200836820083,15.135608024858145,15.255609997230772,0.0952516338755359,15.255741195902347,0.09519899439771004
1.2552301255230125,15.154617794677208,15.266592051197865,0.08970667151336068,15.266718394384394,0.0896530289091095
1.6736401673640167,15.17354114268008,15.277732873995651,0.08425091175462802,15.277854193353225,0.08419617791876438
2.092050209205021,15.192371796860126,15.28902739815609,0.07888894543156255,15.28914352769025,0.07883301313540264
2.510460251046025,15.211103544564573,15.30047031300965,0.07362526087839227,15.300581089354962,0.07356799932927394
2.928870292887029,15.229730235612925,15.31205606821664,0.06846423648278971,15.312161330919249,0.06840548558229102
3.3472803347280333,15.24824578537324,15.323778877758409,0.06341013412145072,15.323878469561183,0.06334969693396257
3.7656903765690375,15.266644177794317,15.335632724387656,0.05846709385394238,15.335726491517535,0.058404726569178736
4.184100418410042,15.284919468391927,15.34761136453605,0.053639130448841166,15.347699156993182,0.053574528763570974
4.602510460251046,15.303065787187174,15.359708333676268,0.0489301326543322,15.359790005524488,0.04886291292007828
5.02092050209205,15.321077341595222,15.371916952134447,0.04434386671734209,15.371992361792707,0.04427353923730939
5.439330543933054,15.338948419262554,15.38423033134802,0.03988398673120873,15.38429934188227,0.03980991692755099
5.857740585774058,15.356673390851013,15.39664138056273,0.03555405643501638,15.396703859977823,0.035475406621408356
6.2761506276150625,15.374246712766888,15.409142813961566,0.031357591168983664,15.409198635492702,0.031273230039114225
6.694560669456067,15.391662929833412,15.421727158217243,0.027298137343899655,15.421776200620485,0.027206493086665423
7.112970711297071,15.408916677904935,15.43438676045877,0.023379426487145045,15.43442890830013,0.023278235599439884
7.531380753138075,15.426002686421262,15.447113796641567,0.019605689874162432,15.447148940584166,0.01949153869658686
7.949790794979079,15.442915780900513,15.459900280309471,0.015982355297327538,15.459928317398278,0.015849770621358686
8.368200836820083,15.459650885369042,15.472738071736007,0.012517779348460868,15.472758905679637,0.01235721491991156
8.786610878661087,15.476203024726868,15.485618887431146,0.009228329418348755,15.485632428880203,0.009020978774053591
9.205020920502092,15.49256732704725,15.498534309998842,0.006157467129698301,15.498540476820281,0.005858659210726793
9.623430962343097,15.50873902580897,15.511475798329592,0.0034808560890918837,15.511474515876579,0.0029500376875380833
10.0418410041841,15.524713462059974,15.52443469811132,0.00224312333014018,15.524425899488051,0.0013335071085320276
10.460251046025103,15.540486086511105,15.53740225264092,0.003746135023287356,15.537385878961878,0.003305138680003017
10.878661087866108,15.556052461558652,15.550369613917928,0.006051026774160336,15.550345614561028,0.005799379258527975
11.297071129707113,15.571408263234485,15.563327854000875,0.008390270262081794,15.563296186853982,0.008217415983935125
11.715481171548117,15.586549283082707,15.576267976606097,0.0106365010985875,15.576228608306373,0.010505244724025996
12.13389121338912,15.601471429961608,15.589180928927947,0.012756533994785397,15.589133835093483,0.012650479209597037
12.552301255230125,15.616170731769948,15.60205761365863,0.014738551294658807,15.60200277911186,0.014649097145217832
12.97071129707113,15.630643337096538,15.614888901185203,0.0165777091972285,15.614826320167545,0.01649979059465271
13.389121338912133,15.644885516792156,15.627665641940606,0.01827207791616414,15.627595318317828,0.018202456333728384
13.807531380753137,15.658893665462928,15.640378678885027,0.019821200587247262,15.64030062634282,0.01975767334760451
14.225941422594142,15.672664302884309,15.653018860093365,0.02122549344941682,15.652933102322596,0.021166487809130528
14.644351464435147,15.686194075334864,15.665577051424055,0.022485964786590675,15.665483622295229,0.022430312313550953
15.06276150627615,15.69947975684916,15.678044149244139,0.02360407018974948,15.677943092970548,0.023550873215263897
15.481171548117153,15.712518250389016,15.690411093185059,0.024581631729704928,15.690302464474149,0.02453018014200422
15.899581589958158,15.725306588932545,15.702668878903413,0.025420789299773587,15.702552743095906,0.025370506422404623
16.317991631799163,15.7378419364804,15.714808570820617,0.02612396906593746,15.714685004016909,0.02607437511735714
16.736401673640167,15.750121588978669,15.726821314815329,0.02669386139857884,15.726690403988735,0.02664454798208267
17.15481171548117,15.762142975158037,15.7386983508423,0.027133404212922242,15.738560193938714,0.02708401593960226
17.573221757322173,15.77390365728874,15.750431025451395,0.02744576944453684,15.750285731474928,0.02739599027885229
17.99163179916318,15.785401331851018,15.762010804180447,0.027634351344054356,15.761858493264683,0.02758389412708646
18.410041841004183,15.796633830120731,15.77342928379582,0.027702755808639408,15.773270087260261,0.027651353933309378
18.828451882845187,15.807599118669966,15.784678204354671,0.027654790276757876,15.784512264746056,0.0276021908082764
19.246861924686193,15.818295299782394,15.795749461063153,0.02749445389964854,15.795576932181259,0.027440411632533638
19.665271966527197,15.82872061178333,15.806635115905133,0.027225927820777727,15.806456162812783,0.02717019988600029
20.0836820083682,15.838873429284378,15.817327409016384,0.026853565473374464,15.817142208033328,0.026795906180940826
20.502092050209203,15.848752263342694,15.827818769779634,0.026381882863118617,15.827627508460033,0.026322038500958336
20.920502092050206,15.85835576153492,15.838101827616413,0.02581554884905865,15.837904704709674,0.025753252165652583
21.338912133891213,15.86768270794589,15.848169422452177,0.025159375478624915,15.847966647846915,0.025094339556478662
21.757322175732217,15.876732023072288,15.858014614831912,0.024418308478882815,15.857806409482807,0.02435021965657047
22.17573221757322,15.885502763641494,15.867630695664035,0.02359741806324259,15.867417291501448,0.023525927478369922
22.594142259414227,15.893994122345882,15.877011195571303,0.022701890290406482,15.87679283539346,0.02262660348151813
23.01255230125523,15.902205427492934,15.886149893828176,0.021737019324749248,15.885926831175805,0.021657483124570078
23.430962343096233,15.91013614257156,15.895040826865053,0.020708201118277515,15.894813325878397,0.020623886756825534
23.849372384937237,15.917785865735068,15.903678296320697,0.01962092930363149,15.903446631578808,0.019531210155338954
24.26778242677824,15.92515432920132,15.912056876625217,0.018480794525909304,15.911821332967516,0.01838491617402022
24.686192468619247,15.932241398570618,15.920171422097011,0.017293489177364584,15.919932294427095,0.01719052824531393
25.10460251046025,15.939047072061946,15.928017073538184,0.016064820778437034,15.927774666609894,0.01595362695544374
25.523012552301253,15.945571479668253,15.935589264314093,0.014800739554498264,15.935343892499926,0.014679851791311468
25.94142259414226,15.951814882231487,15.942883725903917,0.01350739008990389,15.94263571294584,0.013374911832592387
26.359832635983263,15.957777670438206,15.949896492910312,0.012191205470729997,15.949646171653114,0.012044612532353012
26.778242677824267,15.963460363736534,15.956623907517553,0.010859080055813593,15.956371619624862,0.010694912931619324
27.19665271966527,15.968863609175427,15.963062623388796,0.009518696244923349,15.962808719041984,0.009332044201074762
27.615062761506273,15.97398818016713,15.969209608994497,0.008179174001937956,15.968954446574651,0.007962761921721349
28.03347280334728,15.978834975173843,15.975062150365334,0.006852453924629183,15.974806096118556,0.006594920740885613
28.451882845188283,15.98340501631965,15.980617853264354,0.005556515169166301,15.980361280950671,0.005238934226931137
28.870292887029287,15.987699447928776,15.985874644774501,0.004323698024222501,15.985617935300697,0.003912130692556941
29.288702928870293,15.99171953499131,15.990830774299026,0.003224445366178387,15.990574315335754,0.0026551687782686026
29.707112970711297,15.995466661557638,15.99548481397378,0.0024311739249458348,15.995228999557316,0.0016152664101317601
30.1255230125523,15.998942329062741,15.999835658491728,0.002260710735932697,15.999580888610783,0.0013629011414692655
30.543933054393303,16.002148154581704,16.003882524341492,0.002797303283369252,16.003629204509544,0.002149848684643835
30.962343096234306,16.005085869017734,16.007624948463157,0.003719612719290487,16.00737348927675,0.0032686699299239426
31.380753138075313,16.007757315224058,16.011062786325937,0.0047838360498620005,16.010813603009485,0.004448193083501068
31.799163179916317,16.01016444606115,16.014196209433777,0.005889028817676642,16.013949721371386,0.005624498077743784
32.21757322175732,16.012309322390678,16.017025702266253,0.006992785712961702,16.01678233252114,0.006775405292343882
32.63598326359833,16.01419411100776,16.01955205866358,0.008074172184958829,16.01931223348569,0.007889947415127422
33.054393305439326,16.015821082512982,16.02177637766587,0.009121022582302836,16.021540525988303,0.008961175907172426
33.47280334728033,16.017192609125832,16.023700058817987,0.010125251805497344,16.023468611742942,0.009983941482933361
33.89121338912134,16.01831116244109,16.025324796952845,0.011080921132975518,16.02509818722766,0.010954065909571568
34.30962343096234,16.01917931112993,16.026652576466976,0.011983356984838807,16.026431237951098,0.011867988562781958
34.72803347280335,16.019799718587297,16.02768566510365,0.012828715323412315,16.027470032227157,0.012722600258581506
35.146443514644346,16.020175140527435,16.028426607259792,0.01361375170461263,16.028217114474323,0.01351515943936466
35.56485355648535,16.02030842252917,16.028878216834205,0.014335693281372781,16.028675298057006,0.014243247700188874
35.98326359832636,16.020202497532857,16.029043569635608,0.014992164412019018,16.028847657687542,0.014904745322535606
36.40167364016736,16.019860383290762,16.028925995370024,0.015581141832316984,16.028737521408342,0.015497817453393637
36.82008368200837,16.019285179772744,16.02852906922801,0.01610092676164334,16.02834846217475,0.016020906106819804
37.23849372384937,16.018480066529094,16.027856603093163,0.016550126988944883,16.02768428906003,0.016472725371135765
37.65690376569037,16.017448300012497,16.026912636394115,0.01692764495122462,16.02674903810472,0.016852258338145614
38.07531380753138,16.016193210860955,16.02570142662307,0.01723266943800626,16.025546962833452,0.01715875488131574
38.49372384937239,16.01471820114377,16.024227439544646,0.017464669476125644,16.0240825244629,0.01739172975351417
38.91213389121339,16.013026741572393,16.022495339119345,0.017623389491896995,16.022360381825404,0.017550960675935475
39.33054393305439,16.011122368678308,16.020509977166704,0.017708845178959886,16.020385381033098,0.017636486212121813
39.74895397489539,16.00900868195986,16.018276382793545,0.017721319710213422,16.018162544908133,0.01764860329852953
40.1673640167364,16.00668934100013,16.015799751613255,0.01766136007188547,16.015697062204865,0.017587864354773587
40.58577405857741,16.0041680625579,16.013085434782404,0.017529773396256786,16.01299427665033,0.017455073933407894
41.004184100418406,16.001448617633756,16.010138927881197,0.01732762324606678,16.01005967582951,0.01725128489786471
41.42259414225941,15.998534828513481,16.006965859664632,0.017056225870250134,16.00689887994227,0.016977794142302778
41.84100418410041,15.995430565790786,16.00357198071118,0.01671714651838875,16.00351763045878,0.016636137892912354
42.25941422594142,15.992139745371512,15.999963151996088,0.01631219598029883,15.999921778700495,0.016228086660112828
