ncut,N_S_cutoff_effective,QZZB_phase_variance,numerical_QFI
6,1.2063641245972074,0.4151892576301308,1.162599053301916
8,1.3633352774537582,0.40789214167396176,1.2138441782915101
10,1.4391659839679825,0.4053517615502969,1.2320143634985141
12,1.473821627348828,0.40444701839024383,1.2385344503065554
