Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,qzzb_fidelity_convention,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.2,0.9,0.0,1.1038429745269527,0.9059259542133208,0.352823393894524,squared_Uhlmann_fidelity_only,0.38946162459922606,0.0009645056052603204,0.7352941176470588,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,0.0,1.7299978274113776,0.5780354079960409,0.28527579196857905,squared_Uhlmann_fidelity_only,0.4935265003187019,3.594367503415054e-05,0.8064516129032259,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,0.0,2.418534690291969,0.41347349864941507,0.2380772965348177,squared_Uhlmann_fidelity_only,0.5757982006403847,1.0306651615951773e-06,0.8928571428571429,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,0.0,3.1807109689799136,0.31439511786910657,0.20276042297901864,squared_Uhlmann_fidelity_only,0.6449223014443715,2.1080890366451146e-08,1.0,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,0.0,4.0298021709288845,0.24815113933235494,0.17507513100510919,squared_Uhlmann_fidelity_only,0.7055181430000478,2.853267060320875e-10,1.1363636363636365,local-channel-valid
1.5,8,0.016796159999999994,0.7,0.9,0.0,4.981576848734757,0.20073965139250727,0.15262457194377702,squared_Uhlmann_fidelity_only,0.7603110341431719,2.3516901340857806e-12,1.3157894736842104,local-channel-valid
1.5,8,0.016796159999999994,0.8,0.9,0.0,6.055805047442197,0.16513081120773068,0.13396594132023482,squared_Uhlmann_fidelity_only,0.8112716236324232,1.0670290107663422e-14,1.5625000000000002,local-channel-valid
1.5,8,0.016796159999999994,0.9000000000000001,0.9,0.0,7.27651250952811,0.13742847259460717,0.11813506478143561,squared_Uhlmann_fidelity_only,0.8596112766960298,2.3619310059824774e-17,1.9230769230769236,local-channel-valid
1.5,8,0.016796159999999994,1.0,0.9,0.0,8.672204186595756,0.11531093808257604,0.10449792273868148,squared_Uhlmann_fidelity_only,0.9062273230649535,2.2125516817146987e-20,2.5,local-channel-valid
1.5,8,0.016796159999999994,0.2,0.9,0.375,0.5396892696849055,1.8529180700291563,0.44074095962042664,squared_Uhlmann_fidelity_only,0.2378631666177725,0.02100328678543626,0.5053597638168913,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,0.375,0.7313387248484877,1.3673554620086215,0.3886892158629102,squared_Uhlmann_fidelity_only,0.28426347549153935,0.007217512074936019,0.5542655474120745,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,0.375,0.8926579864602759,1.1202498775207013,0.35278464464727327,squared_Uhlmann_fidelity_only,0.31491603054493894,0.002995542856356018,0.6136511417776538,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,0.375,1.031722352811756,0.9692530139283083,0.3261315763843663,squared_Uhlmann_fidelity_only,0.33647723731348533,0.0014176509724849176,0.6872892787909722,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,0.375,1.1538215910985437,0.866685116412069,0.30536716833250804,squared_Uhlmann_fidelity_only,0.35233923203467127,0.0007392952008450981,0.7810105440806503,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,0.375,1.2626837950397416,0.7919639136324911,0.28860648897810043,squared_Uhlmann_fidelity_only,0.3644187367759632,0.00041527287357928097,0.9043279984091739,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,0.375,1.3611835485892212,0.7346547796852492,0.2746766941398062,squared_Uhlmann_fidelity_only,0.37388539724397757,0.0002470594742293315,1.0738894981108942,local-channel-valid
1.5,8,0.016796159999999994,0.9000000000000001,0.9,0.375,1.4519357638941348,0.6887357036498435,0.26275053929609093,squared_Uhlmann_fidelity_only,0.3814969049864657,0.00015339809411823072,1.3217101515211007,local-channel-valid
1.5,8,0.016796159999999994,1.0,0.9,0.375,1.5382687168779527,0.6500814773309471,0.25201620327874735,squared_Uhlmann_fidelity_only,0.387668641650052,9.762426470855903e-05,1.7182231969774306,local-channel-valid
1.5,8,0.016796159999999994,0.2,0.9,0.75,0.33882060422519955,2.951414369520877,0.5075874044905512,squared_Uhlmann_fidelity_only,0.1719810710865893,0.06744941346551574,0.34732834760368725,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,0.75,0.4463008624082434,2.240640976143293,0.46497477418438493,squared_Uhlmann_fidelity_only,0.20751864271656925,0.035837654555104764,0.380940768339528,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,0.75,0.5323681199935429,1.8783994804424595,0.43546104933749824,squared_Uhlmann_fidelity_only,0.23182558016621937,0.02189307457293818,0.4217558506616203,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,0.75,0.6035177313868916,1.6569521457173877,0.41345407366849524,squared_Uhlmann_fidelity_only,0.249526864573079,0.014663277489871333,0.4723665527410147,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,0.75,0.6637522262954018,1.5065862838325936,0.3962371708360833,squared_Uhlmann_fidelity_only,0.2630033042834417,0.010482688302657925,0.5367801735693349,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,0.75,0.7157357963984426,1.3971635972826353,0.38228982458328825,squared_Uhlmann_fidelity_only,0.27361851205314075,0.007864691986582916,0.6215349378171245,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,0.75,0.7613862455049841,1.3133938338178897,0.3706670827239443,squared_Uhlmann_fidelity_only,0.28222081844746927,0.00612015187460583,0.7380727386578355,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,0.75,0.8022621800472334,1.2464753105289406,0.360708055281922,squared_Uhlmann_fidelity_only,0.28938243079107273,0.004894506999112978,0.9083972168096439,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,0.75,0.8399764725118084,1.1905095353559942,0.35182820886749494,squared_Uhlmann_fidelity_only,0.2955274178146661,0.003985881949878217,1.1809163818525368,local-channel-valid
1.5,8,0.016796159999999994,0.2,0.9,1.125,0.2254710378162909,4.43515943193901,0.5620238286433394,squared_Uhlmann_fidelity_only,0.126720095921699,0.13576540939617182,0.23871504952819833,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,1.125,0.29437918098451815,3.396979353823909,0.5269955094504988,squared_Uhlmann_fidelity_only,0.15513650645455673,0.08828301758075295,0.261816505934153,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,1.125,0.34874333469217517,2.867438315007995,0.5026694971886783,squared_Uhlmann_fidelity_only,0.1753026366976186,0.06356029657202439,0.289868274427098,stop-extrapolation
