case,P_MPa,lambda_nm,N_ret,P0,photon_regime,eta_s,eta_i,Gamma,G_Q,G_eff,P_wrap,detector_margin_log10_SBR_over_SBRmin,verdict,reason
A_pass_green_532,30,532,1.29964,0.27263,low-return,0.9,0.9,0.5,4.80952,2.91712,0,3.41485,local-valid,passes configured multilayer screens
B_photon_starved_pass_1064,30,1.06e+03,0.162455,0.850055,photon-starved,0.9,0.9,0.5,4.80952,2.91712,0,2.51176,local-valid,passes configured multilayer screens
C_detector_limited_1550_high_dark,30,1.55e+03,0.0525487,0.948808,extreme photon-starved,0.9,0.9,0.5,4.80952,2.91712,0,0.0215922,local-valid,passes configured multilayer screens
D_signal_loss_fail,30,532,1.29964,0.27263,low-return,0.45,0.9,0.5,0.90991,0.551888,3.19726e-215,3.41485,stop-extrapolation,G_eff <= 1
E_diffusion_fail,30,532,1.29964,0.27263,low-return,0.9,0.9,2,4.80952,0.650898,0,3.41485,stop-extrapolation,G_eff <= 1
F_idler_limited,30,532,1.29964,0.27263,low-return,0.9,0.5,0.5,4.80952,2.91712,0,3.41485,idler-limited,idler efficiency below configured survival threshold
G_guarded_near_boundary,30,532,1.29964,0.27263,low-return,0.7,0.9,0.55,1.65574,0.955278,0,3.41485,stop-extrapolation,G_eff <= 1
