nret,dark_rate_hz,background_rate_hz,gate_time_s,visibility,samples,max_classical_fi,phase_at_max_fi_rad,crlb_phase_variance,noise_counts_per_gate,sbr
0.001,100.0,1000.0,1e-06,0.5,1,0.00012078413789412059,1.6933184402848986,8279.232831686892,0.0010999999999999998,0.9090909090909093
0.001,1000.0,0.0,1e-06,0.5,1,0.00012701638867293697,1.6996016255920783,7872.999779382542,0.001,1.0
0.001,1000.0,10.0,1e-06,0.5,1,0.00012636403055672917,4.586725274241099,7913.644378026273,0.00101,0.9900990099009901
0.001,1000.0,100.0,1e-06,0.5,1,0.00012078413789412059,1.6933184402848986,8279.232831686892,0.0010999999999999998,0.9090909090909093
0.001,1000.0,1000.0,1e-06,0.5,1,8.39201626536068e-05,1.655619328441821,11916.087485764912,0.002,0.5
0.0027825594022071257,1.0,0.0,1e-06,0.5,1,0.000745274578793778,1.8409732950036188,1341.7873471794696,1e-06,2782.559402207126
0.0027825594022071257,1.0,10.0,1e-06,0.5,1,0.0007421977595009411,1.8409732950036188,1347.3497961950288,1.1e-05,252.95994565519325
0.0027825594022071257,1.0,100.0,1e-06,0.5,1,0.0007156808594690954,1.8315485170428496,1397.2708460329895,0.000101,27.55009309115966
0.0027825594022071257,1.0,1000.0,1e-06,0.5,1,0.0005301698769384334,1.762433478663874,1886.1878871253302,0.001001,2.7797796225845413
0.0027825594022071257,10.0,0.0,1e-06,0.5,1,0.0007425042977370888,1.8409732950036188,1346.7935512934728,9.999999999999999e-06,278.2559402207126
0.0027825594022071257,10.0,10.0,1e-06,0.5,1,0.0007394502629274291,1.8409732950036188,1352.356000309032,1.9999999999999998e-05,139.1279701103563
0.0027825594022071257,10.0,100.0,1e-06,0.5,1,0.0007131388559075772,4.454778382790327,1402.2514573649876,0.00010999999999999999,25.295994565519326
0.0027825594022071257,10.0,1000.0,1e-06,0.5,1,0.0005288172369268424,1.762433478663874,1891.0124900833025,0.00101,2.755009309115966
