phi_rad,classical_fi,mean_counts
0.0,0.0,0.243875
0.006283185307179587,1.0686520780423854e-06,0.24387339619456114
0.012566370614359173,4.274523891257796e-06,0.24386858484156007
0.01884955592153876,9.617362178580849e-06,0.24386056613094073
0.025132741228718346,1.709674484380215e-05,0.24384934037926811
0.031415926535897934,2.671208096391797e-05,0.2438349080297157
0.03769911184307752,3.8462610800820504e-05,0.24381726965204784
0.04398229715025711,5.234740581632903e-05,0.24379642594259762
0.05026548245743669,6.836536869056324e-05,0.24377237772423893
0.05654866776461628,8.651523334365945e-05,0.24374512594635422
0.06283185307179587,0.00010679556496083049,0.24371467168479707
0.06911503837897545,0.0001292047600207717,0.24368101614184953
0.07539822368615504,0.00015374104632741322,0.24364416064617486
0.08168140899333462,0.00018040248304502122,0.2436041066527649
0.08796459430051422,0.00020918696073665002,0.24356085574288278
0.0942477796076938,0.0002400922014059463,0.24351440962400026
0.10053096491487339,0.00027311575854230854,0.24346477012973064
0.10681415022205297,0.00030825501716940436,0.24341193921975615
0.11309733552923255,0.00034550719389704745,0.24335591897975067
0.11938052083641215,0.00038486933697643843,0.24329671162129735
0.12566370614359174,0.00042633832635877015,0.24323431948180133
0.13194689145077132,0.0004699108737572054,0.24316874502439742
0.1382300767579509,0.0005155835227122256,0.2430999908378529
0.1445132620651305,0.0005633526486603562,0.24302805963646537
0.15079644737231007,0.0006132144590062753,0.2429529542599555
0.15707963267948966,0.0006651649931983048,0.24287467767335494
0.16336281798666924,0.000719200122807294,0.24279323296688926
0.16964600329384885,0.0007753155516088947,0.2427086233558561
0.17592918860102844,0.000833506815669237,0.24262085218049795
0.18221237390820802,0.0008937692834340118,0.24252992290587053
0.1884955592153876,0.0009560981558209608,0.24243583912170596
0.1947787445225672,0.001020488466315783,0.24233860454227088
0.20106192982974677,0.0010869350810714645,0.24223822300622005
0.20734511513692636,0.0011554326990110366,0.24213469847644462
0.21362830044410594,0.0012259758519337681,0.2420280350399157
0.21991148575128552,0.0012985589046248009,0.24191823690752323
0.2261946710584651,0.001373176054968234,0.2418053084139094
0.2324778563656447,0.0014498213340636676,0.2416892540172978
0.2387610416728243,0.0015284886063462073,0.24157007829931726
0.2450442269800039,0.001609171569709945,0.24144778596482108
0.25132741228718347,0.001691863755634924,0.24132238184170127
0.25761059759436306,0.0017765585293175918,0.24119387088069785
0.26389378290154264,0.0018632490898047541,0.24106225815520352
0.2701769682087222,0.0019519284701310384,0.2409275488610633
0.2764601535159018,0.002042589537459883,0.24078974831636946
0.2827433388230814,0.002135224993228052,0.2406488619612516
0.289026524130261,0.0022298273732936926,0.24050489535766179
0.29530970943744056,0.002326389048087954,0.24035785418915498
0.30159289474462014,0.0024249022227701613,0.24020774426066474
0.3078760800517997,0.0025253589373865713,0.24005457149827403
0.3141592653589793,0.0026277510670327294,0.23989834194898121
0.3204424506661589,0.0027320703220194116,0.23973906178046142
0.3267256359733385,0.002838308248042203,0.239576737280823
0.33300882128051806,0.0029464562263546985,0.23941137485835914
0.3392920065876977,0.003056505473945355,0.2392429810412952
0.3455751918948773,0.0031684470437180067,0.2390715624775308
0.35185837720205687,0.0032822718246760573,0.23889712593437726
