case,P_MPa,lambda_nm,N_ret,P0,photon_regime,eta_s,eta_i,Gamma,G_Q,G_eff,P_wrap,detector_margin_log10_SBR_over_SBRmin,verdict,reason
A_pass_green_532,30,532,1.29964,0.27263,low-return,0.9,0.9,0.5,9.18182,5.56905,0,3.41485,local-channel-valid,passes configured multilayer screens
B_photon_starved_pass_1064,30,1.06e+03,0.162455,0.850055,photon-starved,0.9,0.9,0.5,9.18182,5.56905,0,2.51176,local-channel-valid,passes configured multilayer screens
C_detector_limited_1550_high_dark,30,1.55e+03,0.0525487,0.948808,extreme photon-starved,0.9,0.9,0.5,9.18182,5.56905,0,-0.978408,detector-limited,SBR or Nret below detector screen
D_transduction_low_eta_fail,30,532,1.29964,0.27263,low-return,0.005,0.9,0.5,1.00498,0.609548,0.000522949,3.41485,stop-extrapolation,G_eff <= 1
E_diffusion_fail,30,532,1.29964,0.27263,low-return,0.9,0.9,3,9.18182,0.457136,0,3.41485,stop-extrapolation,G_eff <= 1
F_idler_limited,30,532,1.29964,0.27263,low-return,0.9,0.5,0.5,9.18182,5.56905,0,3.41485,idler-limited,idler efficiency below configured survival threshold
G_guarded_near_boundary,30,532,1.29964,0.27263,low-return,0.7,0.9,1,3.25806,1.19857,0,3.41485,guarded,near local boundary; QZZB/global audit recommended
